Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,462848.4,473787.4,487488.3,504153.4,517900.0,533301.6,545468.3,633132.6,654908.7,689038.8,700276.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,28910.7,29225.6,29969.7,35014.4,34992.8,31222.5,31327.1,32055.1,33310.7,34356.3,35242.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,28375.1,29146.7,29943.8,30848.0,31338.3,31820.7,32369.8,44486.0,51564.9,52518.2,54101.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,25683.0,26018.9,26336.9,27218.0,29754.8,32020.7,33434.3,34169.8,34439.0,35017.4,35287.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,17205.3,17487.4,17888.9,18228.8,18587.2,19172.1,19866.2,24227.0,24782.9,26302.3,26487.3
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,41336.8,44235.9,46612.9,50176.7,52940.5,54756.8,55006.4,55589.3,57133.1,58567.2,58933.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,17398.6,17663.7,18297.5,20117.0,20659.0,21470.8,21866.1,24019.7,24705.6,27902.4,29362.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,40897.9,41464.8,42713.1,40382.7,41186.5,44228.5,46700.0,48884.3,49759.8,50532.1,51057.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,49403.2,50767.3,52925.2,55377.5,56593.5,57832.7,59065.6,78167.8,79012.6,83213.9,84883.5
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,30547.8,30795.3,31141.8,31548.6,32085.6,32960.3,33732.8,37588.7,37773.2,38140.6,38731.2
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,12064.8,12175.7,11520.1,11461.8,12076.6,12935.0,13098.2,16324.7,16553.1,17929.8,18162.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,41246.9,41548.8,42309.2,42566.8,43482.2,44912.7,46758.2,48659.9,52151.7,67253.4,67511.3
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,43950.0,45767.2,46831.3,47513.5,48176.2,48563.4,49085.7,80417.2,81350.0,82295.3,82216.6
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,40042.2,40236.1,42501.5,43024.8,43492.4,45389.3,45697.5,46328.3,46744.7,47421.3,48457.6
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,45786.0,47253.9,48496.5,50674.8,52534.4,56016.0,57460.4,62214.9,65627.4,67588.6,69841.6
