Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,110.1,107.7,76.8,105.7,190.6,116.1,114.8,99.5,155.2,166.9,107.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,110.1,100.4,58.2,111.9,140.6,135.3,150.3,62.8,151.9,197.2,93.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,108.8,99.8,56.1,115.3,191.4,154.1,85.3,98.4,147.1,143.2,135.1
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,101.0,109.6,74.5,115.9,207.6,131.8,97.5,78.8,156.1,176.6,89.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,99.9,100.6,67.4,111.2,309.2,166.5,126.3,98.3,149.7,282.8,107.3
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,117.7,100.5,62.3,103.9,170.6,18.6,627.7,93.8,187.5,127.9,94.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,112.4,105.8,52.9,163.4,305.4,133.2,117.5,84.6,147.2,162.7,87.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,95.8,107.6,57.7,113.3,213.2,119.7,146.0,73.7,132.2,155.5,104.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,118.9,108.1,95.2,88.5,158.6,131.3,89.6,72.1,115.9,143.4,118.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,108.7,98.1,73.9,91.4,147.4,179.5,96.8,78.0,188.8,105.0,93.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,116.1,97.5,62.8,107.0,181.2,162.9,66.5,73.1,131.7,105.7,215.1
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,135.6,140.0,80.0,112.5,185.6,89.1,151.3,86.1,123.4,82.4,96.6
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,97.8,137.4,66.7,88.9,171.6,129.7,95.6,86.5,174.3,134.4,128.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,106.4,103.7,59.9,88.6,255.7,148.8,112.4,97.6,182.9,210.2,86.9
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,107.7,95.1,95.1,107.7,187.9,106.9,100.5,136.2,167.2,183.5,113.0
