Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Yig‘ma indeks,Сводный индекс,Cumulative index,Йиғма индекс,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.02,Oziq-ovqat mahsulotlari,Продукты питания,Food products,Озиқ-овқат маҳсулотлари,0.58459,0.58066,0.53132,0.52545,0.49212,0.47426,0.47426,0.43632,0.43229,0.43663,0.42495
1.03,Nooziq-ovqat mahsulotlari,Непродовольственные товары,Non-food products,Ноозиқ-овқат маҳсулотлари,0.24579,0.24328,0.26767,0.28564,0.31755,0.3286,0.3286,0.35619,0.35159,0.34706,0.34585
1.04,Xizmatlar,Услуги,Services,Хизматлар,0.16962,0.17606,0.20101,0.18891,0.19033,0.19714,0.19714,0.20749,0.21612,0.21631,0.2292
1.02.1,Non mahsulotlari,Хлебобулочные изделия,Bakery products,Нон маҳсулотлари,0.18751,0.1687,0.12887,0.11728,0.10287,0.0983,0.0983,0.09211,0.09161,0.08529,0.06857
1.02.2,"Go'sht, parranda va baliq go'shti","мясо, птицы и рыбы","Meat, poultry and fish","Гўшт, парранда ва балиқ гўшти",0.11418,0.11311,0.12032,0.1176,0.1161,0.10982,0.10982,0.10663,0.10439,0.10323,0.10235
1.02.3,Sut mahsulotlari,Молочные продукты,Dairy products,Сут маҳсулотлари,0.01809,0.02081,0.02616,0.02792,0.03047,0.03023,0.03023,0.02867,0.02729,0.03142,0.03446
1.02.4,Tuxum,Яйцо,Eggs,Тухум,0.01326,0.01207,0.01186,0.0113,0.0111,0.01027,0.01027,0.01014,0.01084,0.01098,0.00851
1.02.5,Yog ' va moylar,Масла и жиры,Oils and oils,Ёг ва мойлар,0.05932,0.05695,0.05301,0.04792,0.04062,0.03961,0.03961,0.036,0.03526,0.03343,0.02969
1.02.6,Meva va sabzavotlar,Фрукты и овощи,Fruits and vegetables,Мева ва сабзавотлар,0.0905,0.09882,0.09181,0.0872,0.08111,0.08072,0.08072,0.07954,0.07443,0.0794,0.07728
1.02.7,"Shakar, choy, qandolat va boshqa oziq-ovqat mahsulotlari","Сахар, чай, кондитерские и другие продукты питания","Sugar, tea, confectionery and other food products","Шакар, чой, қандолат ва бошқа озиқ-овқат маҳсулотлари",0.0519,0.05387,0.06473,0.0686,0.06601,0.06162,0.06162,0.05529,0.05196,0.05035,0.05921
1.02.8,Alkogolsiz ichimliklar,Безалкогольные напитки,Soft drinks,Aлкоголсиз ичимликлар,0.0024,0.00241,0.00496,0.00483,0.00528,0.00604,0.00604,0.00485,0.00547,0.00514,0.01062
1.02.9,Spirtli ichimliklar,Алкогольные напитки,Alcohol,Спиртли ичимликлар,0.02075,0.02394,0.01463,0.01902,0.01844,0.01648,0.01648,0.01312,0.01241,0.01296,0.01256
1.02.10,Umumiy ovqatlanish,Общее питание,Public catering,Умумий овқатланиш,0.02439,0.02831,0.01998,0.02153,0.0183,0.01933,0.01933,0.01981,0.01923,0.01755,0.01811
1.03.1,Kiyim,Одежда,Dress,Кийим,0.04551,0.04078,0.06143,0.05809,0.06182,0.0646,0.0646,0.06622,0.06523,0.06901,0.08412
1.03.2,Oyoq kiyim,Обувь,Footwear,Оёқ кийим,0.01809,0.0161,0.02945,0.02804,0.02707,0.02892,0.02892,0.03024,0.0319,0.03187,0.02872
1.03.3,Gazlama va eshilgan iplar,Ткани и пряжа,Fabrics and yarns,Газлама ва эшилган иплар,0.00699,0.00589,0.00955,0.00937,0.01043,0.0117,0.0117,0.01104,0.01101,0.01027,0.01056
1.03.4,Maishiy to'qimachilik mahsulotlari,Бытовой текстиль,Household textiles,Маиший тўқимачилик маҳсулотлари,0.00307,0.00188,0.00326,0.00447,0.00645,0.0063,0.0063,0.00726,0.00821,0.00819,0.00761
1.03.5,Madaniy mollar,Культтовары,Cultural goods,Маданий моллар,0.0027,0.00233,0.00604,0.00566,0.00693,0.00731,0.00731,0.00633,0.007,0.00514,0.00454
1.03.6,Dori-darmonlar,Медикаменты,Medication,Дори-дармонлар,0.02164,0.03075,0.01641,0.0191,0.02643,0.02559,0.02559,0.02611,0.02572,0.02918,0.02798
1.03.7,Shaxsiy gigiena vositalari,Товары личной гигиены,Personal hygiene products,Шахсий гигиена воситалари,0.01141,0.01214,0.01581,0.01577,0.01716,0.01837,0.01837,0.01849,0.01729,0.01697,0.01664
1.03.8,Tamaki mahsulotlari,Табачные изделия,Tobacco products,Тамаки маҳсулотлари,0.00842,0.00897,0.00403,0.00443,0.00516,0.00453,0.00453,0.00405,0.0035,0.00329,0.00396
1.03.9,Avtomobillar uchun yoqilg'i,Горючее для автомобилей,Fuel for cars,Aвтомобиллар учун ёқилғи,0.03521,0.05014,0.02942,0.02352,0.02371,0.0227,0.0227,0.02567,0.02659,0.02611,0.02394
1.04.1,"Maishiy turdagi xizmatlar (mebel ta'mirlash, poyabzal ta'mirlash, kiyim tikish, sartaroshxona xizmatlari va boshqalar)","Услуги бытового характера (ремонт мебели, ремонт обуви, пошив одежды, услуги  парикмахерских и др.)","Household services (furniture repair, shoe repair, tailoring, hairdressing, etc.)","Маиший турдаги хизматлар (мебел таъмирлаш, поябзал таъмирлаш, кийим тикиш, сартарошхона хизматлари ва бошқалар)",0.02902,0.02486,0.02401,0.02503,0.03355,0.03798,0.03798,0.04101,0.04035,0.03581,0.04555
1.04.2,"Kommunal xizmatlar (kommunal, elektr, uy-joy, suv va gaz,  maishiy chiqindilarni tashlash)","Коммунальные услуги (коммунальные услуги = электроэнергия, жилье, вода и газ, вывоз бытовых отходов)","Utilities (utilities = electricity, housing, water and gas, household waste disposal)","Коммунал хизматлар (коммунал, электр, уй-жой, сув ва газ, маиший чиқиндиларни ташлаш)",0.04675,0.0532,0.07292,0.0594,0.05063,0.04929,0.04929,0.05168,0.05165,0.05808,0.06067
1.04.3,Yo'lovchi tashish,Пассажирский транспорт,Passenger transport,Йўловчи ташиш,0.04695,0.03946,0.0354,0.0389,0.03795,0.03616,0.03616,0.03728,0.03725,0.03566,0.03133
1.04.4,"Aloqa (statsionar va mobil telefon, internet, pochta aloqasi)","Связь (стационарная и мобильная телефонная связь, интернет, почтовая связь)","Communication (fixed and mobile telephony, internet, postal communication)","Aлоқа (стационар ва мобил телефон, интернет, почта алоқаси)",0.01985,0.02215,0.01466,0.01427,0.01527,0.01536,0.01536,0.01753,0.01793,0.02085,0.01984
1.04.5,Ta'lim xizmatlari,Образовательные услуги,Educational services,Таълим хизматлари,0.0139,0.02268,0.01468,0.01359,0.01345,0.01403,0.01403,0.01546,0.01611,0.01754,0.02003
