Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,3334.5,3307.4,3358.3,3394.1,3344.6,3483.9,3527.5,3281.7,3448.3,3473.8,3490.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.0,0.0,35.7,108.1,108.1,146.9,215.1,234.9,252.3,274.1,334.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,205.7,205.7,205.7,205.7,205.7,205.7,205.7,205.7,205.7,205.7,205.7
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,192.4,192.4,192.4,193.6,193.6,205.1,205.1,205.1,205.1,205.1,205.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,196.6,196.6,196.6,196.6,196.6,196.6,196.6,196.6,203.0,203.0,203.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,648.6,643.0,638.8,638.5,637.7,632.8,619.1,332.5,330.9,327.4,326.3
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,147.1,147.1,147.1,147.1,147.1,180.5,187.2,391.2,504.0,509.6,476.4
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,158.0,158.0,158.0,158.0,158.0,193.8,193.8,194.2,194.2,194.2,193.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,173.2,173.2,174.1,162.0,154.5,155.3,158.9,158.9,158.8,158.9,158.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,101.8,91.5,91.5,91.5,91.5,88.8,89.2,89.2,89.2,89.2,89.2
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,206.8,206.8,206.8,206.8,213.1,222.4,222.4,114.9,114.9,114.9,114.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,503.5,500.3,511.3,500.4,485.4,473.7,454.2,389.0,377.1,376.1,365.7
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.0,0.0,0.0,20.0,24.0,31.9,31.9,31.9,31.9,31.9,31.9
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,731.6,723.5,731.1,696.5,660.1,681.3,678.9,668.2,711.8,714.3,715.2
