Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Yig‘ma indeks,Сводный индекс,Cumulative index,Йиғма индекс,107.3,107.6,107.0,106.8,106.1,105.6,105.7,114.4,114.3,115.2,111.1
1.02,Oziq-ovqat mahsulotlari,Продукты питания,Food products,Озиқ-овқат маҳсулотлари,101.9,106.6,105.1,103.9,103.7,101.3,100.3,115.9,114.9,118.6,115.3
1.03,Nooziq-ovqat mahsulotlari,Непродовольственные товары,Non-food products,Ноозиқ-овқат маҳсулотлари,109.6,104.8,104.3,107.4,107.0,108.8,110.0,116.1,112.4,110.9,108.8
1.04,Xizmatlar,Услуги,Services,Хизматлар,122.3,114.2,116.5,113.8,111.3,110.7,110.4,108.6,115.7,115.2,107.1
1.02.1,Non mahsulotlari,Хлебобулочные изделия,Bakery products,Нон маҳсулотлари,105.5,113.1,111.0,104.7,113.2,107.6,99.0,111.0,128.5,124.8,115.2
1.02.2,"Go'sht, parranda va baliq go'shti","мясо, птицы и рыбы","Meat, poultry and fish","Гўшт, парранда ва балиқ гўшти",122.3,118.4,109.0,112.1,119.2,98.1,103.8,130.0,121.7,123.4,118.1
1.02.3,Sut mahsulotlari,Молочные продукты,Dairy products,Сут маҳсулотлари,106.4,105.6,114.2,112.0,103.4,107.0,104.2,116.0,112.8,118.1,111.5
1.02.4,Tuxum,Яйцо,Eggs,Тухум,110.8,113.1,116.3,99.1,83.5,100.8,108.6,136.1,99.5,131.8,137.6
1.02.5,Yog ' va moylar,Масла и жиры,Oils and oils,Ёг ва мойлар,109.3,104.3,111.7,107.1,104.8,121.0,112.2,116.4,108.7,107.5,127.0
1.02.6,Meva va sabzavotlar,Фрукты и овощи,Fruits and vegetables,Мева ва сабзавотлар,60.1,92.1,89.4,88.2,72.0,82.0,77.4,100.8,104.7,114.5,111.9
1.02.7,"Shakar, choy, qandolat va boshqa oziq-ovqat mahsulotlari","Сахар, чай, кондитерские и другие продукты питания","Sugar, tea, confectionery and other food products","Шакар, чой, қандолат ва бошқа озиқ-овқат маҳсулотлари",113.5,103.6,100.2,103.1,103.2,106.3,112.4,117.8,102.6,111.4,111.8
1.02.8,Alkogolsiz ichimliklar,Безалкогольные напитки,Soft drinks,Aлкоголсиз ичимликлар,102.5,102.5,101.2,108.0,106.3,105.8,106.5,106.9,104.8,114.1,103.9
1.02.9,Spirtli ichimliklar,Алкогольные напитки,Alcohol,Спиртли ичимликлар,101.4,100.8,102.6,108.0,105.0,105.0,108.4,116.8,115.8,115.7,107.9
1.02.10,Umumiy ovqatlanish,Общее питание,Public catering,Умумий овқатланиш,101.5,101.5,102.7,107.1,104.0,104.8,106.7,111.0,112.7,123.1,115.4
1.03.1,Kiyim,Одежда,Dress,Кийим,101.4,101.3,104.8,107.8,107.7,110.4,110.0,117.6,111.6,110.4,108.6
1.03.2,Oyoq kiyim,Обувь,Footwear,Оёқ кийим,101.4,101.1,103.2,105.8,107.3,109.8,110.0,115.1,110.3,110.3,106.5
1.03.3,Gazlama va eshilgan iplar,Ткани и пряжа,Fabrics and yarns,Газлама ва эшилган иплар,101.4,101.1,103.1,107.7,106.3,108.7,108.0,116.8,110.7,111.6,108.6
1.03.4,Maishiy to'qimachilik mahsulotlari,Бытовой текстиль,Household textiles,Маиший тўқимачилик маҳсулотлари,102.1,101.5,103.2,107.7,108.6,109.6,109.2,115.0,111.5,110.7,107.4
1.03.5,Madaniy mollar,Культтовары,Cultural goods,Маданий моллар,101.7,101.1,102.5,106.2,104.7,110.2,110.7,113.5,101.2,112.7,105.7
1.03.6,Dori-darmonlar,Медикаменты,Medication,Дори-дармонлар,103.4,103.3,102.0,104.9,104.4,106.5,108.0,112.2,105.3,106.9,113.3
1.03.7,Shaxsiy gigiena vositalari,Товары личной гигиены,Personal hygiene products,Шахсий гигиена воситалари,103.9,102.8,103.8,107.3,107.1,112.0,111.7,120.2,108.5,112.0,109.2
1.03.8,Tamaki mahsulotlari,Табачные изделия,Tobacco products,Тамаки маҳсулотлари,103.0,101.3,100.8,101.0,105.0,110.4,108.7,119.0,128.0,112.8,111.6
1.03.9,Avtomobillar uchun yoqilg'i,Горючее для автомобилей,Fuel for cars,Aвтомобиллар учун ёқилғи,135.2,112.3,101.5,102.4,123.9,101.3,120.1,120.3,123.4,120.8,107.5
1.04.1,"Maishiy turdagi xizmatlar (mebel ta'mirlash, poyabzal ta'mirlash, kiyim tikish, sartaroshxona xizmatlari va boshqalar)","Услуги бытового характера (ремонт мебели, ремонт обуви, пошив одежды, услуги  парикмахерских и др.)","Household services (furniture repair, shoe repair, tailoring, hairdressing, etc.)","Маиший турдаги хизматлар (мебел таъмирлаш, поябзал таъмирлаш, кийим тикиш, сартарошхона хизматлари ва бошқалар)",103.6,101.2,101.8,106.4,106.5,109.1,105.7,108.3,112.2,118.8,113.6
1.04.2,"Kommunal xizmatlar (kommunal, elektr, uy-joy, suv va gaz,  maishiy chiqindilarni tashlash)","Коммунальные услуги (коммунальные услуги = электроэнергия, жилье, вода и газ, вывоз бытовых отходов)","Utilities (utilities = electricity, housing, water and gas, household waste disposal)","Коммунал хизматлар (коммунал, электр, уй-жой, сув ва газ, маиший чиқиндиларни ташлаш)",131.6,128.7,123.4,121.1,119.4,116.2,116.9,107.1,125.6,117.8,101.2
1.04.3,Yo'lovchi tashish,Пассажирский транспорт,Passenger transport,Йўловчи ташиш,113.5,109.5,109.5,112.4,110.4,103.3,107.5,106.9,114.8,112.9,111.5
1.04.4,"Aloqa (statsionar va mobil telefon, internet, pochta aloqasi)","Связь (стационарная и мобильная телефонная связь, интернет, почтовая связь)","Communication (fixed and mobile telephony, internet, postal communication)","Aлоқа (стационар ва мобил телефон, интернет, почта алоқаси)",112.1,108.0,121.5,111.0,114.8,115.7,113.7,123.9,111.7,105.2,100.5
