"Heat generation (TJ) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Heat generation (TJ)
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2018",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2019",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2020",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2021",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2022",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2023",-
"Uzbekistan","Coal and peat","Heat (Commercial)","2000",46.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2001",47.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2002",48.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2003",48.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2004",49.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2005",48.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2006",50.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2007",48.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2008",48.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2009",49.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2010",51.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2011",51.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2012",51.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2013",53.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2014",53.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2015",53.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2016",53.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2017",53.000
"Uzbekistan","Coal and peat","Heat (Commercial)","2018",-
"Uzbekistan","Coal and peat","Heat (Commercial)","2019",-
"Uzbekistan","Coal and peat","Heat (Commercial)","2020",-
"Uzbekistan","Coal and peat","Heat (Commercial)","2021",-
"Uzbekistan","Coal and peat","Heat (Commercial)","2022",-
"Uzbekistan","Coal and peat","Heat (Commercial)","2023",-
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2000",4210.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2001",4267.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2002",4429.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2003",4437.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2004",4491.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2005",4419.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2006",4574.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2007",4397.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2008",4437.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2009",4487.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2010",4645.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2011",4707.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2012",4767.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2013",4868.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2014",4868.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2015",4868.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2016",4868.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2017",4868.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2018",4868.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2019",4868.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2020",4868.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2021",4868.000
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2022",-
"Uzbekistan","Coal and peat","Combined Heat and Power (CHP)","2023",-
"Uzbekistan","Oil","Heat (Commercial)","2000",2275.000
"Uzbekistan","Oil","Heat (Commercial)","2001",2275.000
"Uzbekistan","Oil","Heat (Commercial)","2002",2243.000
"Uzbekistan","Oil","Heat (Commercial)","2003",2048.000
"Uzbekistan","Oil","Heat (Commercial)","2004",1899.000
"Uzbekistan","Oil","Heat (Commercial)","2005",1575.000
"Uzbekistan","Oil","Heat (Commercial)","2006",1441.000
"Uzbekistan","Oil","Heat (Commercial)","2007",988.000
"Uzbekistan","Oil","Heat (Commercial)","2008",703.000
